Arttırılabilir Azami Bellek,Bağlantılar,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Gücü,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Garanti Süresi,Garanti Tipi,Hard Disk Kapasitesi,Kapasite,Klavye,Kullanım Amacı,Maksimum İşlemci Hızı (GHz),Menşei,Panel Tipi,Price,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,Temel İşlemci Hızı (GHz),Title,Çözünürlük,Çözünürlük Standartı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi
128 GB,Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4070,GDDR6,N/A,8 GB,Harici,144 Hz,2 Yıl,MSI Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,N/A,N/A,IPS,94.999 TL,16 GB,DDR5,Siyah,512 GB,N/A,Katana 15 B13vgk-1469xtr I9-13900h 16gb Ddr5 Rtx4070 Gddr6 8gb 512gb Ssd 15.6 Fhd 144hz Dos,1920 x 1080,Full HD (FHD),13900H,13. Nesil,Intel Core i9,10,Free Dos,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Casper Türkiye Garantili,HDD Yok,N/A,Q Türkçe (RGB Aydınlatmalı),Oyun,N/A,N/A,IPS,41.699 TL,16 GB,DDR4,Siyah,500 GB,N/A,Excalibur G870.1270-BVA0A-B INTEL I7-12700H 16GB RAM 500GB NVMe SSD 6GB RTX4050 WIN11 GAMING LAPTOP,1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Windows,N/A
N/A,USB,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,N/A,8 GB,Harici,Belirtilmemiş,2 Yıl,Resmi Distribütör Garantili,500 GB,N/A,Q Türkçe,Oyun,N/A,N/A,IPS,53.171 TL,16 GB,DDR5,SIYAH,SSD Yok,N/A,Nitro V 15 13.Nesil Core i7 13620H-RTX4060 8Gb-16Gb-512Gb Ssd-15.6inc-W11,1920 x 1080,Full HD (FHD),13620H,13. Nesil,Intel Core i7,10,Windows,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 2050,GDDR6,N/A,4 GB ve altı,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,500 GB,N/A,Q Türkçe (Aydınlatmalı),Oyun,N/A,N/A,IPS,,16 GB,DDR5,Siyah,1 TB,N/A,"Nitro 5 AN515-58 NH.QMZEY.005A7 i5-12450H 16GB 512SSD+1TBSSD RTX2050 15.6"" FullHD W11H Taşınabi",1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Windows,N/A
N/A,Bluetooth,2 kg ve altı,Var,"7,0 inç",AMD Radeon Graphics,Belirtilmemiş,N/A,Paylaşımlı,Dahili,120 Hz,2 Yıl,Asus Türkiye Garantili,HDD Yok,N/A,Joystick,Oyun,N/A,N/A,IPS,28.949 TL,16 GB,LPDDR5,Gümüş,512 GB,N/A,ROG ALLY RC71L-NH008W Ryzen Z1 Extreme 16GB RAM 512GB SSD 7 inç FHD (ASUS TÜRKİYE GARANTİLİ),1920 x 1080,Full HD (FHD),Belirtilmemiş,Belirtilmemiş,Ryzen Z1,8,Windows,N/A
64 GB,Bluetooth,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,N/A,8 GB,Harici,144 Hz,2 Yıl,Casper Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.7,N/A,IPS,55.099 TL,64 GB,DDR4,Gri,2 TB,Belirtilmemiş,Excalibur G870.1270-EXB0R-B i7-12700H 64GB RAM 2TB NVMe SSD 8GB RTX4060 W11P GAMING LAPTOP,1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Windows,N/A
N/A,USB - Bluetooth - HDMI,2 kg ve altı,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,N/A,8 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.9,N/A,IPS,"56.398,99 TL",16 GB,DDR5,Siyah,512 GB,2.4,"CYBORG 15 i7-13620H 16GB 512GB SSD 15.6"" 144Hz 8GB RTX4060 W11P Gaming Laptop A13VF-893XTR 001",1920 x 1080,Full HD (FHD),13620H,13. Nesil,Intel Core i7,10,Windows,3 Saat ve Altı
16 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4060,GDDR6,N/A,8 GB,Harici,144 Hz,2 Yıl,HP Türkiye Garantili,HDD Yok,N/A,Q Türkçe,Oyun,N/A,N/A,IPS,48.099 TL,16 GB,DDR5,Mavi,1 TB,N/A,"Victus 16-r1001nt I7 14700hx 16 Gb 1 Tb Ssd Rtx4060-8gb Freedos 16.1"" Fhd 144 Hz Notebook 9j205ea",1920 x 1080,Full HD (FHD),14700HX,14. Nesil,Intel Core i7,16,Free Dos,N/A
N/A,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,N/A,8 GB,Harici,144 Hz,2 Yıl,Casper Türkiye Garantili,1 TB,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,N/A,N/A,IPS,47.799 TL,32 GB,DDR4,Siyah,1 TB,N/A,Excalibur G870.1270-DFB0A-B INTEL i7-12700H 32GB RAM 1TB NVMe SSD 8GB RTX4060 W11 GAMING LAPTOP,1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Windows,N/A
N/A,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,N/A,4 GB ve altı,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,N/A,N/A,IPS,,16 GB,DDR4,Gri,512 GB,N/A,"TUF Gaming F15 FX507ZC4-HN205A3 i5-12500H 16GB 512SSD RTX3050 15.6"" FullHD FreeDOS Taşınabilir",1920 x 1080,Full HD (FHD),12500H,12. Nesil,Intel Core i5,12+,Free Dos,N/A
64 GB,HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,N/A,4 GB ve altı,Harici,144 Hz,1 Yıl,Casper Türkiye Garantili,HDD Yok,N/A,Q Türkçe,Oyun,4.4,N/A,IPS,31.299 TL,16 GB,DDR4,Siyah,1 TB,2.5,Excalibur G770.1245-BFJ0X-B i5-12450H 16GB RAM 1TB SSD GEN4 4GB RTX3050 DOS GAMING LAPTOP,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,N/A
N/A,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,N/A,8 GB,Harici,144 Hz,2 Yıl,HP Türkiye Garantili,HDD Yok,N/A,Q Türkçe,Oyun,N/A,N/A,IPS,48.949 TL,16 GB,DDR4,siyah,512 GB,N/A,"Victus Gaming 15-FA1055NT Intel Core i7 13700H 16GB 512GB SSD RTX4060 Freedos 15.6"" FHD 8U846EA",1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,N/A
32 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,100W,8 GB,Harici,144 Hz,1 Yıl,Monster Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.7,N/A,IPS,42.845 TL,16 GB,DDR4,Siyah,500 GB,2.3,"Tulpar T5 V23.4 Intel Core i7 12700H 16 GB RAM 500 GB SSD 8 GB RTX 4060 FreeDOS 15,6"" FHD 144 Hz",1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Free Dos,4-6 Saat
N/A,USB,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,500 GB,N/A,Q Türkçe,Oyun,N/A,N/A,IPS,28.999 TL,8 GB,DDR5,Gri,512 GB,N/A,LOQ 12.Nesil Core i5 12450H-RTX3050 6Gb-8Gb-512Gb Ssd-15.6-W11 82XV00SWTX,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Windows,N/A
32 GB,HDMI - USB,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Dahili,144 Hz,2 Yıl,Lenovo Türkiye Garantili,HDD Yok,N/A,Q Türkçe,Oyun,N/A,N/A,IPS,39.499 TL,8 GB,DDR5,Luna Gri,512 GB,N/A,LOQ 15IRX9 83DV00G7TR i7-13650HX 8G 512 SSD 6GB RTX4050 15.6 FreeDos,1920 x 1080,Full HD (FHD),13650HX,13. Nesil,Intel Core i7,6,Free Dos,N/A
N/A,HDMI - USB,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,N/A,6 GB,Harici,120 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,N/A,N/A,Anti-Glare,38.999 TL,32 GB,DDR5,Gri,512 GB,N/A,"G15 5530 G155530005U13 i7-13650HX 32GB 512SSD RTX3050 15.6"" FullHD W11P Taşınabilir Bilgisayar-",1920 x 1080,Full HD (FHD),13650HX,13. Nesil,Intel Core i7,14,Windows,N/A
32 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4070,GDDR6,N/A,8 GB,Harici,144 Hz,2 Yıl,Asus Türkiye Garantili,HDD Yok,N/A,Q Türkçe (RGB Aydınlatmalı),Oyun,N/A,N/A,IPS,69.999 TL,16 GB,DDR5,Grafiti Siyah,512 GB,N/A,"TUF GAMING A15 FA507UI-LP125 AMD RYZEN 9-8945HS 16GB 512GB SSD 8GB RTX4070 15.6"" FHD 144Hz FDOS",1920 x 1080,Full HD (FHD),8945HS,8. Nesil,AMD Ryzen 9,8,Free Dos,N/A
64 GB,Bluetooth,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,N/A,8 GB,Harici,144 Hz,2 Yıl,Casper Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.7,N/A,IPS,46.099 TL,16 GB,DDR4,Gri,1 TB,Belirtilmemiş,Excalibur G870.1270-BFB0A-B Core i7-12700H 16GB RAM 1TB NVMe SSD GEN4 8GB RtTX4060 W11 GAMING LAPTOP,1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Windows,N/A
16 GB,Bluetooth - HDMI,2 - 4 kg,Yok,14 inç,Nvidia GeForce RTX 4060,GDDR6,N/A,8 GB,Harici,165 Hz,2 Yıl,Asus Türkiye Garantili,HDD Yok,N/A,Q Türkçe,Oyun,N/A,N/A,IPS,65.499 TL,16 GB,LPDDR5X,Jaeger Gray,1 TB,N/A,TUF Gaming A14 FA401 FA401WV-RG038 Ryzen AI 9 HX 370 16GB RAM 1TB SSD 8GB RTX4060 14 inç WQXGA,2560 x 1600,2.5K,Belirtilmemiş,Belirtilmemiş,AMD Ryzen AI 9,12+,Free Dos,N/A
64 GB,Bluetooth,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Casper Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.7,N/A,IPS,38.999 TL,16 GB,DDR4,Gri,1 TB,Belirtilmemiş,Excalibur G870.1270-BFA0X-B CORE I7-12700H 16GB RAM 1TB NVMe SSD GEN4 6GB RTX4050 DOS GAMING LAPTOP,1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,8,Free Dos,N/A
32 GB,Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,DDR5,N/A,6 GB,Harici,144 Hz,2 Yıl,HP Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,N/A,N/A,TN,34.437 TL,16 GB,DDR4,Mavi,512 GB,N/A,"Victus Gaming 15-FA1033NT Intel Core i5 13500H 16GB 512GB SSD RTX4050 15.6"" FHD Dizüstü Bilgisayar",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Free Dos,N/A
N/A,USB - Bluetooth - HDMI,2 kg ve altı,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,45W,6 GB,Harici,144 Hz,2 Yıl,MSI Türkiye Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,4.4,N/A,IPS,48.599 TL,32 GB,DDR4,SİYAH,1 TB,3.3,"THIN GF63 12VE-082XTR-K18 Intel Core i5 12450H 32gb 1tb SSD RTX4050 W11Pro 15.6"" FHD 144Hz",1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Windows,N/A
N/A,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,DDR5,N/A,4 GB ve altı,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe (RGB Aydınlatmalı),Oyun,N/A,N/A,IPS,,16 GB,DDR5,Siyah,512 GB,N/A,"TUF Gaming A15 FA506NC-HN050A3 Ryzen5 7535HS 16GB 512SSD RTX3050 15.6"" FullHD FreeDOS Taşınabil",1920 x 1080,Full HD (FHD),7535HS,7. Nesil,AMD Ryzen 5,6,Linux,N/A
32 GB,HDMI - USB,2 kg ve altı,Yok,"16,1 inç",Nvidia GeForce RTX 4050,GDDR6,120W,6 GB,Harici,144 Hz,2 Yıl,HP Türkiye Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,5.0,N/A,IPS,"42.882,81 TL",16 GB,DDR5,Siyah,1 TB,2.4,Victus 16-s1022nt 9Z794EA Amd Ryzen 7-8845HS 16GB 1TB SSD 6GB RTX 4050 144 Hz 16.1 Freedos,1920 x 1080,Full HD (FHD),Belirtilmemiş,8. Nesil,AMD Ryzen 7,8,Free Dos,N/A
32 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,105W,6 GB,Harici,144 Hz,1 Yıl,Monster Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.4,N/A,IPS,33.499 TL,8 GB,DDR4,Siyah,500 GB,2,"Abra A5 V20.4.6 Intel Core i5 12450H 8 GB RAM 500 GB SSD 6 GB RTX 4050 FreeDos 15,6"" FHD 144 Hz",1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,3 Saat ve Altı
16 GB,HDMI - USB,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,N/A,4 GB ve altı,Harici,144 Hz,2 Yıl,MSI Türkiye Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,N/A,N/A,TN,34.599 TL,16 GB,DDR4,Siyah,512 GB,N/A,Thın 15 B12uc-1478xtrm1 I5-12450h 16gb Rtx3050 Gddr6 4gb 512gb Ssd 15.6 Fhd 144hz Windows 10 Home,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Windows,N/A
N/A,HDMI,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4060,GDDR6,N/A,8 GB,Harici,144 Hz,2 Yıl,Game Garaj Türkiye Garantili,HDD Yok,N/A,Q Türkçe (RGB Aydınlatmalı),Oyun,+5,N/A,IPS,"48.588,23 TL",32 GB,DDR5,Siyah,1 TB,3.7,"Slayer3 7xl-4060 C2 Intel I7 13700h 32gb Ram 1tb Ssd Rtx4060 17.3"" Fhd Ips 144hz Freedos Bilgisayar",1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,95W,6 GB,Harici,144 Hz,2 Yıl,Lenovo Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.4,N/A,IPS,32.999 TL,24 GB,DDR5,Gri,512 GB,3.1,"LOQ 15IAX9 Intel Core i5 12450HX 24GB 512 GB SSD RTX3050 15.6"" FHD Freedos 83GS0013TR-T26",1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,N/A
N/A,USB - Bluetooth - HDMI,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4070,GDDR6,N/A,8 GB,Harici,165 Hz,2 Yıl,Asus Türkiye Garantili,HDD Yok,N/A,Q Türkçe (RGB Aydınlatmalı),Oyun,4.9,N/A,IPS,"83.670,74 TL",16 GB,DDR5,GRİ,1 TB,2.6,"Rog Strix G16 G614jı-n3189 Intel Core I7 13650hx 16 Gb 1 Tb Ssd Rtx 4070 165 Hz Freedos 16"" Wux",1920 x 1200,FHD+,13650HX,13. Nesil,Intel Core i7,14,Free Dos,N/A
16 GB,HDMI - USB,2 kg ve altı,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,N/A,8 GB,Harici,144 Hz,2 Yıl,MSI Türkiye Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,4.9,N/A,TN,44.999 TL,16 GB,DDR5,siyah,512 GB,N/A,"CYBORG 15 A13VF-892XTR Intel Core i7 13620H 16GB 512GB SSD RTX4060 Freedos 15.6"" FHD 144Hz",1920 x 1080,Full HD (FHD),13620H,13. Nesil,Intel Core i7,10,Free Dos,N/A
N/A,USB - Bluetooth - HDMI,2 kg ve altı,Yok,16 inç,Nvidia Quadro T2000,GDDR6,N/A,8 GB,Harici,240 Hz,2 Yıl,MSI Türkiye Garantili,HDD Yok,N/A,Q Türkçe,Oyun,N/A,N/A,TN,87.999 TL,32 GB,DDR5,Gri,2 TB,N/A,Creatorpro 16 Aı Studıo A1vjg-080tr Intel Core Ultra 7 155h 32gb 2tb Ssd Rtx2000 Windows 11 Pro,2560 x 1600,QHD+,155H,1. Nesil,Intel Core Ultra 7,16,Windows,N/A
N/A,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,N/A,4 GB ve altı,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,500 GB,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,N/A,N/A,IPS,,32 GB,DDR4,Gri,1 TB,N/A,"TUF Gaming F15 FX507ZC4-HN205A9 i5-12500H 32GB 512SSD+1TBSSD RTX3050 15.6"" FullHD FreeDOS Taşın",1920 x 1080,Full HD (FHD),12500H,12. Nesil,Intel Core i5,12+,Free Dos,N/A
N/A,USB - Bluetooth - HDMI,2 kg ve altı,Yok,16 inç,Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,120 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmasız),Oyun,4.7,N/A,IPS,38.999 TL,32 GB,DDR4,Siyah,1 TB,3.5,"Vivobook I5-13500h 32gb 1tb Ssd 6 Gb Rtx4050 120hz 16"" W11h Gaming K3605vu-n1066w 002",1920 x 1200,WUXGA,13500H,13. Nesil,Intel Core i5,12+,Windows,3 Saat ve Altı
N/A,HDMI,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4060,GDDR6,N/A,8 GB,Harici,165 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmasız),Oyun,N/A,N/A,IPS,45.899 TL,16 GB,DDR5,Siyah,1 TB,N/A,Omen Core I5-13500hx 16gb Ram 1tb Ssd Rtx4060 16.1'' Win 11 Laptop Gölge Siyahı 7q7y2ea,1920 x 1080,Full HD (FHD),13500HX,13. Nesil,Intel Core i5,14,Windows,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,N/A,8 GB,Harici,144 Hz,2 Yıl,MSI Türkiye Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,4.6,N/A,IPS,,24 GB,DDR5,Siyah,256 GB,1.7,"Cyborg 15 A13VF i5-13420H 24GB 256GB SSD RTX4060/8GB 15.6"" FHD 144HZ FDOS & PER4 ÇANTA",1920 x 1080,Full HD (FHD),13420H,13. Nesil,Intel Core i5,12+,Free Dos,N/A
32 GB,HDMI - USB,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4060,GDDR6,120W,8 GB,Harici,144 Hz,2 Yıl,HP Türkiye Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,4.5,N/A,IPS,46.999 TL,16 GB,DDR5,Mavi,1 TB,N/A,"Victus Gaming 16-r1061nt 9j263ea I5-14500hx 16 Gb 512gb Ssd 8gb Rtx4060 144hz Fhd 16.1"" Freedos",1920 x 1080,Full HD (FHD),14500HX,14. Nesil,Intel Core i5,14,Free Dos,N/A
16 GB,Bluetooth,2 kg ve altı,Var,"7,0 inç",Dahili Ekran Kartı,GDDR5,N/A,Paylaşımlı,Dahili,120 Hz,2 Yıl,MSI Türkiye Garantili,HDD Yok,N/A,Joystick,Oyun,N/A,N/A,IPS,22.199 TL,16 GB,LPDDR5,Siyah,512 GB,N/A,CLAW A1M-087TR ULTRA 5 135H 16GB LDDR5 UMA 512GB SSD 7.0 FHD 120Hz W11,1920 x 1080,Full HD (FHD),1355U,Belirtilmemiş,Intel Core i5,14,Windows,4-6 Saat
N/A,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 3050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,HP Türkiye Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,N/A,N/A,IPS,34.999 TL,16 GB,DDR5,Siyah,512 GB,N/A,"Victus Intel Core i5-14450HX 16GB 512GB SSD RTX3050 6GB 16.1"" 144Hz IPS DOS Gaming Laptop 9J291EA",1920 x 1080,Full HD (FHD),14500HX,14. Nesil,Intel Core i5,10,Free Dos,N/A
64 GB,Bluetooth,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,N/A,8 GB,Harici,144 Hz,1 Yıl,Casper Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.7,N/A,IPS,49.499 TL,64 GB,DDR4,Gri,2 TB,Belirtilmemiş,Excalibur G870.1270-EXB0X-B Intel Core i7-12700H 64GB RAM 2TB NVMe SSD 8GB RTX4060 DOS GAMING LAPTOP,1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Free Dos,6 Saat ve Üstü
128 GB,Bluetooth,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,N/A,8 GB,Harici,144 Hz,2 Yıl,Casper Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.4,N/A,IPS,42.099 TL,32 GB,DDR4,Gri,500 GB,N/A,Excalibur G870.1245-DVB0X-B i5-12450H 32GB RAM 500GB NVMe SSD GEN4 8GB RTX4060 DOS GAMING LAPTOP,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4060,GDDR6,115W,8 GB,Harici,144 Hz,2 Yıl,Monster Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,5.0,N/A,IPS,49.299 TL,16 GB,DDR4,Siyah,500 GB,2.4,"Tulpar T7 V20.6 Intel Core i7 13700H 16 GB RAM 500 GB SSD 8 GB RTX 4060 FreeDos 17,3"" FHD 144 Hz",1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,3 Saat ve Altı
N/A,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Asus Türkiye Garantili,HDD Yok,N/A,Q Türkçe (RGB Aydınlatmalı),Oyun,4.7,N/A,IPS,,16 GB,DDR5,Mecha Gray,512 GB,N/A,"Tuf Gaming A15 FA507NU R7 7735HS 16GB 512GB SSD RTX4050/6GB 15.6"" FHD FDOS LP051",1920 x 1080,Full HD (FHD),7735HS,7. Nesil,AMD Ryzen 7,8,Free Dos,N/A
N/A,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,N/A,4 GB ve altı,Harici,120 Hz,2 Yıl,Lenovo Türkiye Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,N/A,N/A,IPS,29.999 TL,8 GB,DDR4,Onyx Grey,512 GB,N/A,"IP Gaming3 Intel Core i5-12450H 8GB 512GB RTX3050 DOS 15.6"" Onyx Grey Gaming Laptop 82S9015UTX",1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,N/A
128 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,140W,6 GB,Harici,144 Hz,2 Yıl,Monster Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,37.299 TL,16 GB,DDR4,Siyah,500 GB,2.6,"Abra A5 V20.2 Intel Core I5 13500h 16 Gb Ram 500 Gb Ssd 6 Gb Rtx 4050 Freedos 15,6"" Fhd 144 Hz",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Free Dos,3 Saat ve Altı
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4050,DDR4,N/A,Paylaşımlı,Harici,144 Hz,2 Yıl,Asus Türkiye Garantili,HDD Yok,N/A,Q Türkçe,Oyun,N/A,N/A,WUXGA,39.999 TL,48 GB,DDR4,Siyah,1 TB,N/A,"Vivobook 16x I5-13500h 48gb 1tb Ssd Fhd 120hz Wuxga 16.0"" W11home Rtx4050 8gb K3605vu-n1066wt4",1920 x 1200,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Windows,3 Saat ve Altı
8 GB,HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,4.6,N/A,IPS,32.199 TL,32 GB,DDR5,siyah,512 GB,2.1,"Nitro V 15 Intel Core i5 13420H 32GB DDR5 RAM 512GB M.2 SSD RTX 4050-6GB FreeDos 15.6"" FHD IPS",1920 x 1080,Full HD (FHD),13420H,13. Nesil,Intel Core i5,8,Free Dos,3 Saat ve Altı
